movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,star,votes,gross(in $),normalized_rating
tt0347992,Death Ray on Coral Island,1980,Unknown,0,Sci-Fi,4.8,Scientists protect a high efficiency atomic battery from being used as an ultimate weapon.,Hongmei Zhang,"Nong Li, 
Zhiao Ling, 
Junqin Ma, 
Zhen Qiao",24.0,0.0,0.48
tt4212880,Alienation,0,Unknown,0,Sci-Fi,0.0,Add a Plot,Unknown,Unknown,0.0,0.0,0.0
tt0179476,Starcrypt,1996,Unknown,0,Sci-Fi,3.8,"In 2323, space colonies are at war with each other for resources. A scavenger arrives on one of the abandoned planets. There he meets a stranded armed unit. While exploring they encounter an unstoppable creature.",Richard Preston Jr.,"Matthias Hues, 
Michael Blankenship, 
Larry Finch, 
Donna Lafferty",55.0,0.0,0.38
tt0015053,Laughing at Danger,1924,Unknown,60,Sci-Fi,6.1,Add a Plot,James W. Horne,"Richard Talmadge, 
Joseph W. Girard, 
Joseph Harrington, 
Eva Novak",44.0,0.0,0.61
tt13997810,Nemesis Eterna,0,Unknown,0,Sci-Fi,0.0,"Atmospheric sci-fi, collage film with strange cast of human and non-human characters.",Stephen van Vuuren,"Marshall Dancing Elk Lucas, 
Greg Dorchak, 
Robyne Parrish, 
Danny Pardo",0.0,0.0,0.0
tt1294160,Exile,2008,Unknown,82,Sci-Fi,3.6,"After a near death crash landing, a blinded pilot, Jason, gets help from an advanced, female android, named Reyna. With the aid of an audio motion sensor, Reyna teaches Jason how to defend against monsters and enemy soldiers.",Mike Conway,"Brian Sheridan, 
Heather Lei Guzzetta, 
Tiffany Sinclair, 
Jake Bass",130.0,0.0,0.36
tt5542350,Feuilles mortes,2016,Unknown,0,Sci-Fi,6.8,"L'intrigue se déroule dans un Québec rural en faillite. Les villages se sont refermés sur eux-mêmes, les fermiers défendent leurs terres à la pointe de leurs fusils et les routes sont ...                See full summary »","Thierry Bouffard, 
Carnior, 
Edouard Tremblay","Roy Dupuis, 
Noémie O'Farrell, 
Audrey Rancourt-Lessard, 
Philippe Racine",96.0,0.0,0.6799999999999999
tt14039040,Void,0,Unknown,0,Sci-Fi,0.0,Follows a group of space crew members who begin to turn up dead while attempting to escape from a distant moon where their memories are erased by a magnetic burst every eight hours.,Unknown,Unknown,0.0,0.0,0.0
tt9755700,Marslycan,2025,Unknown,90,Sci-Fi,0.0,Add a Plot,Jeffrey Schneider,"Carl Bailey, 
Donna Hamblin, 
Tim O'Hearn, 
Luc Bernier",0.0,0.0,0.0
tt7311348,Diaspora,0,Unknown,0,Sci-Fi,0.0,"In a near future where mankind is threatened by an exponential advances in artificial intelligence, a brilliant young engineer finds herself at the center of an eccentric billionaire's bid to alter the trajectory of the human race.",Unknown,Unknown,0.0,0.0,0.0
